dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss
bizitobs_application/10S/short,Taichu-TimeSeries-Agent,303782.77664938074,303782.77664938074,301.586381370065,0.9569875063683588,0.013445716838817444,0.0135474281569037,6.364877486108296,551.1649269042622,0.021256228161522474,0.011630981254225483,0.009176478815577378
bizitobs_l2c/5T/long,Taichu-TimeSeries-Agent,76.94081510867647,76.94081510867647,5.2140451215324175,0.5298345066553011,0.39515590387905686,0.736559378854567,5.924079821638595,8.771591366945708,0.4925117417013512,0.29276083856258583,0.244088605911174
bizitobs_l2c/5T/medium,Taichu-TimeSeries-Agent,68.48901732891912,68.48901732891912,5.017327984606074,0.5069106794879378,0.36218302951503434,0.6440385784661766,4.700747803903425,8.275809164602524,0.43542926310236085,0.26398523499361093,0.2152664982109619
bizitobs_l2c/5T/short,Taichu-TimeSeries-Agent,18.838771383753706,18.838771383753706,2.406440744202584,0.252461405385462,0.1303828428111143,0.1968779926780977,1.6208307927598422,4.340365351413831,0.14906571464064045,0.08264691569295292,0.06591899411621888
bizitobs_l2c/H/long,Taichu-TimeSeries-Agent,74.12425335730074,74.12425335730074,4.970426988010132,0.5395092629320635,0.6203832621472469,0.7650709120550241,8.072542156878633,8.609544317633818,0.5258958155961835,0.30360802596336034,0.25871336209011286
bizitobs_l2c/H/medium,Taichu-TimeSeries-Agent,68.31396003549789,68.31396003549789,4.780622523292989,0.4874905493290297,0.5470463423011456,0.7585744304995027,4.784216123540184,8.265225951871969,0.5004719855431413,0.2894739551340176,0.24082040175042937
bizitobs_l2c/H/short,Taichu-TimeSeries-Agent,53.98312062369358,53.98312062369358,4.417267790581174,0.42974897862837164,0.38396886527005386,0.6094647303665095,2.715858102243009,7.347320642499113,0.3960393994440737,0.23810204673065344,0.18564634378047395
bizitobs_service/10S/long,Taichu-TimeSeries-Agent,129397.9852449489,129397.9852449489,73.76651565826742,1.2376634251679972,0.0800044350567588,0.07518800983283769,17.288484650850943,359.719314528632,0.2664915681402407,0.05464859305587442,0.0498578706018323
bizitobs_service/10S/medium,Taichu-TimeSeries-Agent,6581.986635233709,6581.986635233709,28.988131593804564,0.9318162795268987,0.06546382566505901,0.055571572321547025,9.493909016277563,81.12944370099989,0.06105993115361594,0.02181715094599929,0.017162588189998065
bizitobs_service/10S/short,Taichu-TimeSeries-Agent,2056.532242275548,2056.532242275548,17.7128215065101,0.6846887432165049,0.05580405840126511,0.04373538699975396,5.497194812676113,45.34900486532806,0.033595992575480016,0.013122224436692963,0.010224040991734469
car_parts/M/short,Taichu-TimeSeries-Agent,1.3682199995451239,1.3682199995451239,0.45396086459019885,0.8343264209534107,0.8430490795691946,1.9023611123438837,15.344635696329666,1.1697093654173774,2.8048430689699266,1.088551585782232,0.9583251828350714
