,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
20,car_parts/M/short,PatchTST-ABR,1.2554123386754543,1.2554123386754543,0.5541686811532033,1.0406725190583015,0.6660063992065831,1.8004380762458274,41.62690076226741,1.1204518457637769,2.686728589698614,1.3288396505384394,1.3288396652080634,Sales,1
21,covid_deaths/D/short,PatchTST-ABR,1625994.0731829577,1625994.0731829577,208.6203320802005,38.33248094638548,0.1129348823110486,0.3885094052269345,1533.2992385946443,1275.1447263675436,0.4797793862421989,0.0784944115074763,0.0784944125058897,Healthcare,1
22,electricity/15T/long,PatchTST-ABR,440872.3949662162,440872.3949662162,77.77938440784534,1.2151896326550935,0.230149957400446,0.1836655055323878,48.60758530583227,663.9822248872451,1.0475133458376726,0.1227065125306514,0.1227065107075572,Energy,1
23,electricity/15T/medium,PatchTST-ABR,282886.42531756754,282886.42531756754,70.7849644786388,1.171059055255191,0.2253008028999626,0.1825652406709688,46.84236220990366,531.8706847698672,0.9164667350419048,0.1219696199535127,0.1219696167901197,Energy,1
24,electricity/15T/short,PatchTST-ABR,175409.6179025021,175409.6179025021,68.86688294556764,1.3028574174242218,0.226840363370114,0.2068441438245343,52.11429669716198,418.81931414692673,0.825575443484143,0.1357502042258066,0.1357502054420729,Energy,1
25,electricity/D/short,PatchTST-ABR,4368761181.737514,4368761181.737514,6746.037648648648,1.8801541913815545,0.734050180682092,0.1413722138275971,75.2061676658727,66096.60491838832,1.0861867777156975,0.1108598074739529,0.1108598077091932,Energy,1
26,electricity/H/long,PatchTST-ABR,9444811.47401802,9444811.47401802,334.7852090840841,1.548193244301475,0.4383870845152572,0.1946624205993102,61.927729772329855,3073.241200104219,1.2120854698644203,0.1320391928373794,0.1320391881007987,Energy,1
27,electricity/H/medium,PatchTST-ABR,13637362.944617117,13637362.944617117,349.6631716286599,1.562293577281918,0.3937445699790508,0.1916194396835189,62.4917430898347,3692.8800338783167,1.4414527646900597,0.1364850579576218,0.136485059665298,Energy,1
28,electricity/H/short,PatchTST-ABR,1606827.2332249435,1606827.2332249435,226.54205676379505,1.3390578972838376,0.312121529433807,0.177778368168049,53.56231589219768,1267.6068922284005,0.5984009829021689,0.1069440299411908,0.1069440285400016,Energy,1
29,electricity/W/short,PatchTST-ABR,88088371610.98378,88088371610.98378,35718.44960585586,1.756873916344261,0.2522803066975385,0.1222497280653532,70.27495665167902,296796.85242768965,0.6771924969259774,0.0814977176377143,0.0814977206658937,Energy,1
